episode_id,method,outage_duration,outage_profile,seed,episode_seed,key_scheme,ablation_row,replication_lag,topology,source_node,reconnect_node,ttr_seconds,epoch_guard_result,tau_star,scenario_id,n_actions,n_eligible,n_duplicate,n_stale,n_escalated,n_invalidated,n_unsafe,unsafe_action_rate
45,cold_restart,0,no_outage,42,2156216003191905391,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
46,cold_restart,0,no_outage,42,5074975183544875430,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
47,cold_restart,0,no_outage,42,8589489081347243339,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
48,cold_restart,0,no_outage,42,3181650617402490915,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
49,cold_restart,0,no_outage,42,7157203610800098888,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
50,cold_restart,0,no_outage,42,5675826990125284943,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
51,cold_restart,0,no_outage,42,4507066895374295218,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
52,cold_restart,0,no_outage,42,8663339073518653437,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
53,cold_restart,0,no_outage,42,9059524889792162409,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
54,cold_restart,0,no_outage,42,5840185158395957132,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
55,cold_restart,0,no_outage,42,5594284145914592487,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
56,cold_restart,0,no_outage,42,3712900099362676869,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
57,cold_restart,0,no_outage,42,371659948154880100,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
58,cold_restart,0,no_outage,42,610861379796725446,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
59,cold_restart,0,no_outage,42,112934477400109697,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
60,cold_restart,0,no_outage,42,6286425901771179042,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
61,cold_restart,0,no_outage,42,3361659179338380604,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
62,cold_restart,0,no_outage,42,8513023717936591298,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
63,cold_restart,0,no_outage,42,4547574653273310514,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
64,cold_restart,0,no_outage,42,3068264476573823133,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
65,cold_restart,0,no_outage,42,8893025446511363229,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
66,cold_restart,0,no_outage,42,5529050758926376854,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
67,cold_restart,0,no_outage,42,8711921383702051002,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
68,cold_restart,0,no_outage,42,8659470515048037316,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
69,cold_restart,0,no_outage,42,3430182277733411076,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
70,cold_restart,0,no_outage,42,3510851110975934682,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
71,cold_restart,0,no_outage,42,8831823183864137134,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
72,cold_restart,0,no_outage,42,5060758118292912132,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
73,cold_restart,0,no_outage,42,5160572949459322243,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
74,cold_restart,0,no_outage,42,467453436535625280,intent,full,0,same-node,edge-a,edge-a,0.0,True,0.5051826557580381,replan-dup-2,2,2,2,0,0,0,2,1.0
