temperature,tau,fmr,n_false_match,n_total,ci_low,ci_high,source
0.0,0.9400000000000001,0.01,2,200,0.0027466006037749346,0.03572248519617954,dedicated_negatives
0.0,0.9500000000000001,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,0.96,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,0.97,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,0.98,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,0.99,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.0,1.0,0.0,0,200,0.0,0.018846005918320894,dedicated_negatives
0.7,0.0,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.01,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.02,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.03,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.04,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.05,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.06,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.07,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.08,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.09,1.0,200,200,0.9811539940816791,1.0,dedicated_negatives
0.7,0.1,0.985,197,200,0.9568335194437211,0.9948858548155076,dedicated_negatives
0.7,0.11,0.97,194,200,0.9361048802675267,0.9861798741692518,dedicated_negatives
0.7,0.12,0.97,194,200,0.9361048802675267,0.9861798741692518,dedicated_negatives
0.7,0.13,0.96,192,200,0.9230670617058012,0.9795946128493436,dedicated_negatives
0.7,0.14,0.935,187,200,0.8919799625008207,0.9616240123502404,dedicated_negatives
0.7,0.15,0.9,180,200,0.8505931364369146,0.9343300588284289,dedicated_negatives
0.7,0.16,0.85,170,200,0.7939430617334484,0.892864734123727,dedicated_negatives
0.7,0.17,0.825,165,200,0.7663545078991807,0.8713955882539106,dedicated_negatives
0.7,0.18,0.81,162,200,0.7499864142552062,0.8583290620754351,dedicated_negatives
0.7,0.19,0.78,156,200,0.7176107720803744,0.8318354646053661,dedicated_negatives
0.7,0.2,0.765,153,200,0.7015850701327535,0.8184265467305365,dedicated_negatives
0.7,0.21,0.735,147,200,0.6698229773344888,0.7913193998839003,dedicated_negatives
0.7,0.22,0.735,147,200,0.6698229773344888,0.7913193998839003,dedicated_negatives
0.7,0.23,0.72,144,200,0.6540756858222899,0.7776320715736488,dedicated_negatives
0.7,0.24,0.685,137,200,0.617649158589664,0.7453778192205573,dedicated_negatives
0.7,0.25,0.65,130,200,0.5816333576186576,0.712712840605846,dedicated_negatives
0.7,0.26,0.62,124,200,0.5510658951919951,0.6844110633876079,dedicated_negatives
0.7,0.27,0.595,119,200,0.5257958199999483,0.6606234388755706,dedicated_negatives
0.7,0.28,0.555,111,200,0.4857317563236392,0.6221951830253456,dedicated_negatives
0.7,0.29,0.54,108,200,0.4708216309361468,0.6076706885903875,dedicated_negatives
0.7,0.3,0.49,98,200,0.4215615528275274,0.5588153672908391,dedicated_negatives
